Year,Area,Street,Street 2
2011,Birmingham,Acocks̴Green,Acocks Green
2011,,Adderly̴Street,Adderly Street
2011,," Alcester̴Raod,̴Mosley"," Alcester Raod, Mosley"
2011,,alcester̴road,alcester road
2011,,alcester̴road̴moseley,alcester road moseley
2011,,Alcester̴Road̴Moseley,Alcester Road Moseley
2011,,Alfred̴Street,Alfred Street
2011,," All̴service̴club,̴Mosley"," All service club, Mosley"
2011,,Alum̴Rock̴Road,Alum Rock Road
2011,,Alum̴Rock̴Road,Alum Rock Road
2011,,Alum̴Rock̴Road,Alum Rock Road
2011,,Alum̴Rock̴Road,Alum Rock Road
2011,,arcadian̴centre,arcadian centre
2011,," Arden̴Road,̴Saltley"," Arden Road, Saltley"
2011,," Asda,̴Chemsley̴Wood"," Asda, Chemsley Wood"
2011,," Balsahll̴Heath̴Park,̴J/W̴Brighton̴road"," Balsahll Heath Park, J/W Brighton road"
2011,,Bamford̴Road,Bamford Road
2011,,Bamford̴Road,Bamford Road
2011,,BeechBrook̴Avenue̴Sparkhill,BeechBrook Avenue Sparkhill
2011,,Belchers̴Lane,Belchers Lane
2011,,Belchers̴Lane,Belchers Lane
2011,,Belchers̴Lane,Belchers Lane
2011,," Belchers̴Lane,̴Bordesley̴Green"," Belchers Lane, Bordesley Green"
2011,,Bell̴Street,Bell Street
2011,," Berkley̴Rd̴East̴,̴̴Haymills."," Berkley Rd East ,  Haymills."
2011,,birmingham̴airport,birmingham airport
2011,,Birmingham̴International̴railway̴station,Birmingham International railway station
2011,,Bordesley̴Green,Bordesley Green
2011,," Bordesley̴Green̴,̴̴Bordesley̴Green."," Bordesley Green ,  Bordesley Green."
2011,,Bristol̴Road,Bristol Road
2011,,Bristol̴Street,Bristol Street
2011,,Broad̴Street,Broad Street
2011,,Broad̴Street,Broad Street
2011,,Broad̴Street̴Birmingham,Broad Street Birmingham
2011,,Buckland̴End̴Lane̴Shard̴End,Buckland End Lane Shard End
2011,," Bulls̴Head̴PH,̴St̴Marys̴Row"," Bulls Head PH, St Marys Row"
2011,," Bushbury̴Road,̴Kitts̴Green"," Bushbury Road, Kitts Green"
2011,,Chartice̴Road,Chartice Road
2011,,Chestnut̴Road,Chestnut Road
2011,," church̴rd,̴stechford"," church rd, stechford"
2011,," Church̴Road,̴Sheldon"," Church Road, Sheldon"
2011,,Clifford̴RD̴Dorridge.,Clifford RD Dorridge.
2011,,Clock̴Lane,Clock Lane
2011,," Colonial̴road,̴Bordesley̴Green`"," Colonial road, Bordesley Green`"
2011,," Corporation̴St,Birmingham"," Corporation St,Birmingham"
2011,,corporation̴street,corporation street
2011,,Coventry̴rd̴Small̴heath,Coventry rd Small heath
2011,," COVENTRY̴RD,̴SMALL̴HEATH,̴BHAM"," COVENTRY RD, SMALL HEATH, BHAM"
2011,,Coventry̴Road,Coventry Road
2011,,Coventry̴Road,Coventry Road
2011,,Coventry̴Road,Coventry Road
2011,,Coventry̴Road,Coventry Road
2011,,Coventry̴Road,Coventry Road
2011,," Coventry̴road,̴Small̴heath"," Coventry road, Small heath"
2011,," Coventry̴Road,̴Small̴Heath"," Coventry Road, Small Heath"
2011,," coventry̴road,small̴heath"," coventry road,small heath"
2011,,Cranes̴Park̴Road,Cranes Park Road
2011,,Cranes̴Park̴Road̴Sheldon,Cranes Park Road Sheldon
2011,,crossfield̴road,crossfield road
2011,,Crossfields̴Road̴Kitts̴Green,Crossfields Road Kitts Green
2011,," cxhurch̴rd,̴stechford,̴bham"," cxhurch rd, stechford, bham"
2011,,digbeth̴high̴street,digbeth high street
2011,,Edgbaston̴road,Edgbaston road
2011,,Edward̴Road.̴Moseley,Edward Road. Moseley
2011,,Fighting̴Cox̴PH,Fighting Cox PH
2011,," Foremans̴road,̴sparkhill"," Foremans road, sparkhill"
2011,," front̴office,̴kings̴heath"," front office, kings heath"
2011,," Garretts̴Green̴Road,̴Garretts̴Green"," Garretts Green Road, Garretts Green"
2011,,Giles̴Close,Giles Close
2011,," GILES̴CLOSE,̴STECHFORD"," GILES CLOSE, STECHFORD"
2011,,glazedale̴road,glazedale road
2011,,Gospel̴Farm̴Road,Gospel Farm Road
2011,,Gospel̴Farm̴Road,Gospel Farm Road
2011,,gospel̴lane,gospel lane
2011,,gospel̴lane,gospel lane
2011,,Gospel̴Lane,Gospel Lane
2011,," Gospel̴lane,̴acocks̴green"," Gospel lane, acocks green"
2011,," Grace̴Church,̴Sutton̴Coldfield"," Grace Church, Sutton Coldfield"
2011,,Great̴Hampton̴Street,Great Hampton Street
2011,,Green̴Lane,Green Lane
2011,,Greswell̴lane̴Shard̴End,Greswell lane Shard End
2011,," Harlequin̴drive,̴Mosley"," Harlequin drive, Mosley"
2011,,Haslucks̴Green̴Road,Haslucks Green Road
2011,,Hazeldean̴Road,Hazeldean Road
2011,,Heartlands̴Hospital,Heartlands Hospital
2011,,Heartlands̴Hospital,Heartlands Hospital
2011,,Heartlands̴Hospital̴A̴&̴E.,Heartlands Hospital A & E.
2011,,Heartlands̴Hospital̴A̴&̴E.,Heartlands Hospital A & E.
2011,,heartlands̴hospital̴A̴&̴E.,heartlands hospital A & E.
2011,,Hepben̴Grove,Hepben Grove
2011,,Herrick̴Road,Herrick Road
2011,," Herrick̴Road,̴Washwood̴Heath"," Herrick Road, Washwood Heath"
2011,," Herrick̴Road,̴Washwood̴Heath"," Herrick Road, Washwood Heath"
2011,,High̴St̴Solihull,High St Solihull
2011,,HIGH̴STREET̴KINGS̴HEATH,HIGH STREET KINGS HEATH
2011,,High̴Street̴Kings̴Heath,High Street Kings Heath
2011,," high̴street,̴kings̴heath"," high street, kings heath"
2011,,Hob̴Moor̴Road̴at̴Starbank̴Road,Hob Moor Road at Starbank Road
2011,,Holloway̴head̴Bham̴City̴centre,Holloway head Bham City centre
2011,,Hollywell̴Road,Hollywell Road
2011,,home̴address,home address
2011,,Home̴Address,Home Address
2011,,Homer̴street,Homer street
2011,,Hunters̴Moon̴Public̴house.,Hunters Moon Public house.
2011,,Hurst̴Street,Hurst Street
2011,,Hurst̴Street,Hurst Street
2011,,Hurst̴Street,Hurst Street
2011,," Hurst̴Street,̴Birmingham"," Hurst Street, Birmingham"
2011,,Kings̴Heath̴High̴Street,Kings Heath High Street
2011,," KNOWLE̴RD,̴SMALL̴HEATH,̴BHAM"," KNOWLE RD, SMALL HEATH, BHAM"
2011,,ladypool̴Road,ladypool Road
2011,,ladypool̴Road,ladypool Road
2011,,Ladywell̴Walk,Ladywell Walk
2011,,Lea̴Hall̴RD,Lea Hall RD
2011,,Lea̴Hall̴rd,Lea Hall rd
2011,," Lea̴Village,̴Stechford"," Lea Village, Stechford"
2011,," Lenches̴Close,̴Mosley"," Lenches Close, Mosley"
2011,,Lime̴Tree̴Road,Lime Tree Road
2011,,Lode̴Lane̴@̴Hermitage̴Road,Lode Lane @ Hermitage Road
2011,,Long̴street,Long street
2011,,Long̴Street.̴Sparkhill,Long Street. Sparkhill
2011,,Longbridge̴Lane,Longbridge Lane
2011,," LONGMEADOW̴CRESCENT̴SHARD̴END̴,̴BHAM"," LONGMEADOW CRESCENT SHARD END , BHAM"
2011,,Maccadown̴Lane,Maccadown Lane
2011,,masshouse̴lane,masshouse lane
2011,,Meadwaym̴Stechford,Meadwaym Stechford
2011,," Mickleover̴Road,̴Bromford"," Mickleover Road, Bromford"
2011,,moorcroft̴road,moorcroft road
2011,,Moseley̴Road,Moseley Road
2011,,moseley̴road,moseley road
2011,,moseley̴road,moseley road
2011,,moseley̴road,moseley road
2011,,Moseley̴Village,Moseley Village
2011,,Moseley̴Village,Moseley Village
